epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.86243,1.33611,2.86921,1.64364,0.57453,0.85,0.87817,0.63489,1.64738,1.07035,1.38135,0,0,0
2,10.4933,1.20416,2.69406,1.511,0.56574,0.85,0.8488,0.6319,1.64478,1.06028,1.37173,1.17822e-06,1.17822e-06,1.17822e-06
3,13.0081,1.1601,3.63341,1.57315,0.55956,0.85,0.85083,0.63276,1.66527,1.06101,1.37731,2.33288e-06,2.33288e-06,2.33288e-06
4,15.8394,1.27724,2.74018,1.38866,0.56026,0.85,0.84952,0.61586,1.65912,1.05348,1.37599,3.46397e-06,3.46397e-06,3.46397e-06
5,18.575,1.37198,3.08503,1.72634,0.56511,0.85,0.85526,0.63771,1.65728,1.04075,1.36954,4.5715e-06,4.5715e-06,4.5715e-06
6,21.1837,1.56189,4.11418,1.96485,0.54414,0.85,0.8936,0.63825,1.68403,1.05837,1.37583,5.65548e-06,5.65548e-06,5.65548e-06
7,24.0866,1.13976,1.91306,1.41952,0.53944,0.85173,0.89406,0.64255,1.68267,1.05915,1.37528,6.71588e-06,6.71588e-06,6.71588e-06
8,26.7549,1.37611,4.01878,1.61443,0.55029,0.85949,0.85911,0.61257,1.64201,1.05719,1.35113,7.75273e-06,7.75273e-06,7.75273e-06
9,29.1692,1.11618,2.70406,1.41099,0.56884,0.86386,0.81827,0.59503,1.6635,1.05919,1.36163,8.76602e-06,8.76602e-06,8.76602e-06
10,31.3222,1.18655,3.44731,1.59516,0.57996,0.86406,0.81417,0.59502,1.65531,1.05637,1.35492,9.75574e-06,9.75574e-06,9.75574e-06
11,33.4127,1.20761,2.4692,1.45278,0.59064,0.8637,0.85595,0.61995,1.65247,1.063,1.35423,1.07219e-05,1.07219e-05,1.07219e-05
12,35.5776,0.9914,2.00612,1.36598,0.58565,0.86399,0.85561,0.62083,1.66152,1.07352,1.36184,1.16645e-05,1.16645e-05,1.16645e-05
13,37.6573,0.87115,2.2381,1.132,0.59052,0.86667,0.85501,0.62082,1.64835,1.07325,1.35181,1.25835e-05,1.25835e-05,1.25835e-05
14,39.738,1.08319,2.18872,1.48359,0.59792,0.86667,0.88803,0.62731,1.65166,1.09378,1.35624,1.3479e-05,1.3479e-05,1.3479e-05
15,41.8254,0.92888,1.64808,1.12293,0.60722,0.86667,0.88802,0.62731,1.65073,1.10136,1.35735,1.43509e-05,1.43509e-05,1.43509e-05
16,43.8975,1.22329,2.48045,1.62352,0.61054,0.86667,0.87512,0.62676,1.66234,1.12288,1.36696,1.51993e-05,1.51993e-05,1.51993e-05
17,45.9659,0.84442,1.78453,1.19115,0.62052,0.7,0.87291,0.62795,1.66147,1.13324,1.36991,1.60241e-05,1.60241e-05,1.60241e-05
18,47.9939,1.15669,1.55188,1.36044,0.62052,0.7,0.87291,0.62795,1.66147,1.13324,1.36991,1.68253e-05,1.68253e-05,1.68253e-05
19,50.1439,0.97843,1.90561,1.1355,0.77481,0.65,0.86188,0.61114,1.66857,1.17683,1.37892,1.7603e-05,1.7603e-05,1.7603e-05
20,52.1544,0.89713,1.53576,1.21099,0.77481,0.65,0.86188,0.61114,1.66857,1.17683,1.37892,1.83571e-05,1.83571e-05,1.83571e-05
21,54.2427,1.29229,2.49843,1.71347,0.77117,0.65,0.85531,0.6099,1.68123,1.2121,1.38578,1.90876e-05,1.90876e-05,1.90876e-05
22,56.3367,1.08324,2.33902,1.51912,0.77117,0.65,0.85531,0.6099,1.68123,1.2121,1.38578,1.97946e-05,1.97946e-05,1.97946e-05
23,58.4272,1.0587,1.82065,1.47225,0.74586,0.65,0.85514,0.6192,1.68027,1.23182,1.3835,2.0478e-05,2.0478e-05,2.0478e-05
24,60.458,1.12415,2.21396,1.54031,0.74586,0.65,0.85514,0.6192,1.68027,1.23182,1.3835,2.11379e-05,2.11379e-05,2.11379e-05
25,62.5143,0.83464,1.46997,1.21033,0.71048,0.65471,0.85534,0.61104,1.68067,1.27378,1.38323,2.17741e-05,2.17741e-05,2.17741e-05
26,64.5451,1.15293,1.85953,1.45071,0.71048,0.65471,0.85534,0.61104,1.68067,1.27378,1.38323,2.23869e-05,2.23869e-05,2.23869e-05
27,66.625,0.91842,1.67096,1.39784,0.70522,0.66849,0.85545,0.61336,1.70159,1.30243,1.39812,2.2976e-05,2.2976e-05,2.2976e-05
28,68.6751,0.80104,1.2417,1.14049,0.70522,0.66849,0.85545,0.61336,1.70159,1.30243,1.39812,2.35417e-05,2.35417e-05,2.35417e-05
29,70.7562,0.9973,1.52719,1.27174,0.70066,0.67247,0.85551,0.61082,1.67039,1.30965,1.37779,2.40837e-05,2.40837e-05,2.40837e-05
30,72.7695,1.26559,2.34973,1.59811,0.70066,0.67247,0.85551,0.61082,1.67039,1.30965,1.37779,2.46022e-05,2.46022e-05,2.46022e-05
31,74.887,0.97959,1.43341,1.29405,0.69189,0.66667,0.85204,0.60885,1.6808,1.34639,1.38376,2.50971e-05,2.50971e-05,2.50971e-05
32,76.9015,0.81014,1.26026,1.21396,0.69189,0.66667,0.85204,0.60885,1.6808,1.34639,1.38376,2.55685e-05,2.55685e-05,2.55685e-05
33,79.1388,0.78147,1.31862,1.34256,0.67237,0.68913,0.85241,0.60751,1.66629,1.37774,1.37987,2.60163e-05,2.60163e-05,2.60163e-05
34,81.191,1.05736,1.25152,1.31048,0.67237,0.68913,0.85241,0.60751,1.66629,1.37774,1.37987,2.64405e-05,2.64405e-05,2.64405e-05
35,83.3359,0.88711,2.1651,1.30325,0.66425,0.7,0.85262,0.59109,1.68127,1.41213,1.388,2.68412e-05,2.68412e-05,2.68412e-05
36,85.373,0.96213,1.4774,1.20113,0.66425,0.7,0.85262,0.59109,1.68127,1.41213,1.388,2.72183e-05,2.72183e-05,2.72183e-05
37,87.4964,0.78378,1.11433,1.17299,0.64696,0.7,0.8524,0.5836,1.64951,1.44742,1.37019,2.75718e-05,2.75718e-05,2.75718e-05
38,89.5299,0.45773,0.70327,0.9692,0.64696,0.7,0.8524,0.5836,1.64951,1.44742,1.37019,2.79018e-05,2.79018e-05,2.79018e-05
39,91.8312,0.64934,0.93237,1.02185,0.67395,0.69074,0.85257,0.56179,1.62476,1.47864,1.36471,2.82082e-05,2.82082e-05,2.82082e-05
40,93.8827,0.80208,0.83747,1.16674,0.67395,0.69074,0.85257,0.56179,1.62476,1.47864,1.36471,2.84911e-05,2.84911e-05,2.84911e-05
41,95.9867,0.75784,0.92627,1.06124,0.682,0.66535,0.76929,0.48791,1.59532,1.48958,1.3568,2.87504e-05,2.87504e-05,2.87504e-05
42,98.0098,0.88068,1.88333,1.27764,0.682,0.66535,0.76929,0.48791,1.59532,1.48958,1.3568,2.89861e-05,2.89861e-05,2.89861e-05
43,100.208,0.84658,1.22082,1.2283,0.6783,0.65,0.76238,0.47306,1.622,1.52903,1.3847,2.91983e-05,2.91983e-05,2.91983e-05
44,102.238,1.07447,0.98539,1.45166,0.6783,0.65,0.76238,0.47306,1.622,1.52903,1.3847,2.93869e-05,2.93869e-05,2.93869e-05
45,104.342,0.61307,0.92524,0.99469,0.69153,0.65,0.76251,0.47229,1.60984,1.54705,1.38009,2.9552e-05,2.9552e-05,2.9552e-05
46,106.402,0.81965,0.99591,1.26952,0.69153,0.65,0.76251,0.47229,1.60984,1.54705,1.38009,2.96935e-05,2.96935e-05,2.96935e-05
